doc_id,words,sentences,cluster_id,tokens
['bc/cctv/00/cctv_0005'],"['To', 'express', 'its', 'determination', ',', 'the', 'Chinese', 'securities', 'regulatory', 'department', 'compares', 'this', 'stock', 'reform', 'to', 'a', 'die', 'that', 'has', 'been', 'cast', '.']","To express its determination , the Chinese securities regulatory department compares this stock reform to a die that has been cast .",42,"(2, 2)"
['bc/cctv/00/cctv_0005'],"['To', 'express', 'its', 'determination', ',', 'the', 'Chinese', 'securities', 'regulatory', 'department', 'compares', 'this', 'stock', 'reform', 'to', 'a', 'die', 'that', 'has', 'been', 'cast', '.']","To express its determination , the Chinese securities regulatory department compares this stock reform to a die that has been cast .",32,"(11, 13)"
['bc/cctv/00/cctv_0005'],"['To', 'express', 'its', 'determination', ',', 'the', 'Chinese', 'securities', 'regulatory', 'department', 'compares', 'this', 'stock', 'reform', 'to', 'a', 'die', 'that', 'has', 'been', 'cast', '.']","To express its determination , the Chinese securities regulatory department compares this stock reform to a die that has been cast .",42,"(5, 9)"
['bc/cctv/00/cctv_0005'],"['It', 'takes', 'time', 'to', 'prove', 'whether', 'the', 'stock', 'reform', 'can', 'really', 'meet', 'expectations', ',', 'and', 'whether', 'any', 'deviations', 'that', 'arise', 'during', 'the', 'stock', 'reform', 'can', 'be', 'promptly', 'corrected', '.']","It takes time to prove whether the stock reform can really meet expectations , and whether any deviations that arise during the stock reform can be promptly corrected .",32,"(21, 23)"
['bc/cctv/00/cctv_0005'],"['It', 'takes', 'time', 'to', 'prove', 'whether', 'the', 'stock', 'reform', 'can', 'really', 'meet', 'expectations', ',', 'and', 'whether', 'any', 'deviations', 'that', 'arise', 'during', 'the', 'stock', 'reform', 'can', 'be', 'promptly', 'corrected', '.']","It takes time to prove whether the stock reform can really meet expectations , and whether any deviations that arise during the stock reform can be promptly corrected .",32,"(6, 8)"
['bc/cnn/00/cnn_0008'],"['Iraq', 'in', 'the', 'shadows', '/.']",Iraq in the shadows /.,169,"(0, 0)"
['bc/cnn/00/cnn_0008'],"['Has', 'Iraq', 'been', 'overshadowed', 'by', 'Katrina', 'and', 'Tom', 'DeLay', 'and', 'Harriet', 'Meyers', 'and', 'the', 'Pakistan', 'quake', '/?']",Has Iraq been overshadowed by Katrina and Tom DeLay and Harriet Meyers and the Pakistan quake /?,169,"(1, 1)"
['bc/cnn/00/cnn_0008'],"['A', 'conversation', 'with', 'columnist', 'Tom', 'Friedman', '/.']",A conversation with columnist Tom Friedman /.,96,"(0, 6)"
['bc/cnn/00/cnn_0008'],"['A', 'conversation', 'with', 'columnist', 'Tom', 'Friedman', '/.']",A conversation with columnist Tom Friedman /.,53,"(3, 5)"
['bc/cnn/00/cnn_0008'],"['Was', 'Sixty', 'Minutes', 'unfair', 'to', 'Bill', 'Clinton', 'in', 'airing', 'Louis', 'Freeh', ""'s"", 'charges', 'against', 'him', '/?']",Was Sixty Minutes unfair to Bill Clinton in airing Louis Freeh 's charges against him /?,113,"(5, 6)"
['bc/cnn/00/cnn_0008'],"['Was', 'Sixty', 'Minutes', 'unfair', 'to', 'Bill', 'Clinton', 'in', 'airing', 'Louis', 'Freeh', ""'s"", 'charges', 'against', 'him', '/?']",Was Sixty Minutes unfair to Bill Clinton in airing Louis Freeh 's charges against him /?,113,"(14, 14)"
['bc/msnbc/00/msnbc_0007'],"['Dealing', 'with', 'serial', 'crimes', 'per', 'se', '/.']",Dealing with serial crimes per se /.,156,"(2, 3)"
['bc/msnbc/00/msnbc_0007'],"['We', 'can', 'see', 'the', 'emerging', 'behavior', '/.']",We can see the emerging behavior /.,115,"(3, 5)"
['bc/msnbc/00/msnbc_0007'],"['We', 'can', 'see', 'the', 'emerging', 'behavior', '/.']",We can see the emerging behavior /.,90,"(0, 0)"
['bc/msnbc/00/msnbc_0007'],"['we', 'can', 'see', 'that', 'this', 'is', 'a', 'behavior', 'that', 'is', 'not', 'going', 'to', 'stop', '/.']",we can see that this is a behavior that is not going to stop /.,90,"(0, 0)"
['bc/msnbc/00/msnbc_0007'],"['we', 'can', 'see', 'that', 'this', 'is', 'a', 'behavior', 'that', 'is', 'not', 'going', 'to', 'stop', '/.']",we can see that this is a behavior that is not going to stop /.,115,"(4, 4)"
['bc/msnbc/00/msnbc_0007'],"['You', 'can', 'have', 'hundreds', 'of', 'individuals', 'as', 'suspects', 'and', 'can', 'narrow', 'the', 'focus', 'of', 'your', 'investigation', 'to', 'a', 'smaller', 'pool', 'of', 'people', '/.']",You can have hundreds of individuals as suspects and can narrow the focus of your investigation to a smaller pool of people /.,179,"(17, 21)"
['bc/msnbc/00/msnbc_0007'],"['And', 'it', 'gives', 'you', 'a', 'starting', 'point', '/.']",And it gives you a starting point /.,179,"(1, 1)"
['bc/phoenix/00/phoenix_0003'],"['Children', 'are', 'left', 'at', 'home', 'in', 'the', 'rural', 'areas', ',', 'after', 'parents', 'leave', 'to', 'work', 'in', 'the', 'city', '.']","Children are left at home in the rural areas , after parents leave to work in the city .",130,"(11, 11)"
['bc/phoenix/00/phoenix_0003'],"['Children', 'are', 'left', 'at', 'home', 'in', 'the', 'rural', 'areas', ',', 'after', 'parents', 'leave', 'to', 'work', 'in', 'the', 'city', '.']","Children are left at home in the rural areas , after parents leave to work in the city .",108,"(0, 0)"
['bc/phoenix/00/phoenix_0003'],"['These', 'are', 'called', 'left', '-', 'behind', 'children', '.']",These are called left - behind children .,108,"(0, 0)"
['bc/phoenix/00/phoenix_0003'],"['The', 'parents', 'are', 'also', 'forced', 'to', 'work', 'in', 'the', 'city', '.']",The parents are also forced to work in the city .,130,"(0, 1)"
['bc/phoenix/00/phoenix_0003'],"['In', 'fact', ',', 'they', 'have', 'no', 'alternatives', 'but', 'to', 'make', 'such', 'a', 'decision', '.']","In fact , they have no alternatives but to make such a decision .",130,"(3, 3)"
['bn/abc/00/abc_0009'],"['Tomorrow', ""'s"", 'summit', 'meeting', 'will', 'bring', 'Ehud', 'Barak', 'and', 'Yasser', 'Arafat', 'to', 'the', 'resort', 'city', 'of', 'Sharm', 'El', '-', 'eikh', '.']",Tomorrow 's summit meeting will bring Ehud Barak and Yasser Arafat to the resort city of Sharm El - eikh .,9,"(0, 3)"
['bn/abc/00/abc_0009'],"['Tomorrow', ""'s"", 'summit', 'meeting', 'will', 'bring', 'Ehud', 'Barak', 'and', 'Yasser', 'Arafat', 'to', 'the', 'resort', 'city', 'of', 'Sharm', 'El', '-', 'eikh', '.']",Tomorrow 's summit meeting will bring Ehud Barak and Yasser Arafat to the resort city of Sharm El - eikh .,8,"(9, 10)"
['bn/abc/00/abc_0009'],"['Tomorrow', ""'s"", 'summit', 'meeting', 'will', 'bring', 'Ehud', 'Barak', 'and', 'Yasser', 'Arafat', 'to', 'the', 'resort', 'city', 'of', 'Sharm', 'El', '-', 'eikh', '.']",Tomorrow 's summit meeting will bring Ehud Barak and Yasser Arafat to the resort city of Sharm El - eikh .,3,"(6, 7)"
