doc_id,words,sentences,spans
['bc/cctv/00/cctv_0005'],"['--', 'basically', ',', 'it', 'was', 'unanimously', 'agreed', 'upon', 'by', 'the', 'various', 'relevant', 'parties', '.']","-- basically , it was unanimously agreed upon by the various relevant parties .",[]
['bc/cctv/00/cctv_0005'],"['To', 'express', 'its', 'determination', ',', 'the', 'Chinese', 'securities', 'regulatory', 'department', 'compares', 'this', 'stock', 'reform', 'to', 'a', 'die', 'that', 'has', 'been', 'cast', '.']","To express its determination , the Chinese securities regulatory department compares this stock reform to a die that has been cast .","[[42, 2, 2], [32, 11, 13], [42, 5, 9]]"
['bc/cctv/00/cctv_0005'],"['It', 'takes', 'time', 'to', 'prove', 'whether', 'the', 'stock', 'reform', 'can', 'really', 'meet', 'expectations', ',', 'and', 'whether', 'any', 'deviations', 'that', 'arise', 'during', 'the', 'stock', 'reform', 'can', 'be', 'promptly', 'corrected', '.']","It takes time to prove whether the stock reform can really meet expectations , and whether any deviations that arise during the stock reform can be promptly corrected .","[[32, 21, 23], [32, 6, 8]]"
['bc/cctv/00/cctv_0005'],"['Dear', 'viewers', ',', 'the', 'China', 'News', 'program', 'will', 'end', 'here', '.']","Dear viewers , the China News program will end here .",[]
['bc/cctv/00/cctv_0005'],"['This', 'is', 'Xu', 'Li', '.']",This is Xu Li .,[]
['bc/cctv/00/cctv_0005'],"['Thank', 'you', 'everyone', 'for', 'watching', '.']",Thank you everyone for watching .,"[[116, 1, 1], [116, 2, 2]]"
['bc/cctv/00/cctv_0005'],"['Coming', 'up', 'is', 'the', 'Focus', 'Today', 'program', 'hosted', 'by', 'Wang', 'Shilin', '.']",Coming up is the Focus Today program hosted by Wang Shilin .,[]
['bc/cctv/00/cctv_0005'],"['Good-bye', ',', 'dear', 'viewers', '.']","Good-bye , dear viewers .",[]
['bc/cctv/00/cctv_0005'],"['Hello', ',', 'dear', 'viewers', '.']","Hello , dear viewers .",[]
['bc/cctv/00/cctv_0005'],"['Welcome', 'to', 'Focus', 'Today', '.']",Welcome to Focus Today .,"[[64, 2, 3]]"
['bc/cctv/00/cctv_0005'],"['Today', ',', 'let', ""'s"", 'turn', 'our', 'attention', 'to', 'a', 'road', 'cave', '-', 'in', 'accident', 'that', 'happened', 'in', 'Beijing', 'over', 'the', 'holiday', '.']","Today , let 's turn our attention to a road cave - in accident that happened in Beijing over the holiday .","[[67, 8, 20], [40, 0, 0], [75, 19, 20], [110, 17, 17]]"
['bc/cctv/00/cctv_0005'],"['Before', 'dawn', 'on', 'January', '3', ',', 'a', 'sewage', 'pipe', 'leakage', 'accident', 'occurred', 'at', 'the', 'main', 'and', 'side', 'roads', 'of', 'Jingguang', 'Bridge', ',', 'East', 'Third', 'Ring', 'Road', ',', 'Beijing', 'Municipality', ',', 'resulting', 'in', 'the', 'road', 'caving', 'in', '.']","Before dawn on January 3 , a sewage pipe leakage accident occurred at the main and side roads of Jingguang Bridge , East Third Ring Road , Beijing Municipality , resulting in the road caving in .","[[110, 27, 28], [67, 32, 35], [28, 3, 4], [120, 19, 28]]"
['bc/cctv/00/cctv_0005'],"['Relevant', 'departments', 'from', 'Beijing', 'Municipality', 'promptly', 'activated', 'emergency', 'contingency', 'plans', '.']",Relevant departments from Beijing Municipality promptly activated emergency contingency plans .,"[[110, 3, 4]]"
['bc/cctv/00/cctv_0005'],"['The', 'traffic', 'administration', 'department', 'carried', 'out', 'traffic', 'supervision', 'near', 'the', 'accident', 'scene', '.']",The traffic administration department carried out traffic supervision near the accident scene .,[]
['bc/cctv/00/cctv_0005'],"['Well', ',', 'how', 'did', 'the', 'emergency', 'response', 'mechanisms', 'activated', 'by', 'governmental', 'departments', 'operate', 'effectively', 'during', 'the', 'holiday', '?']","Well , how did the emergency response mechanisms activated by governmental departments operate effectively during the holiday ?","[[75, 15, 16]]"
['bc/cctv/00/cctv_0005'],"['After', 'the', 'holiday', ',', 'what', 'will', 'be', 'done', 'to', 'handle', 'citizens', ""'"", 'peak', 'commute', '?']","After the holiday , what will be done to handle citizens ' peak commute ?","[[75, 1, 2]]"
['bc/cctv/00/cctv_0005'],"['In', 'addition', ',', 'what', 'measures', 'did', 'relevant', 'departments', 'take', 'to', 'resolve', 'issues', 'such', 'as', 'waste', 'discharge', ',', 'heating', ',', 'and', 'communication', ',', 'in', 'order', 'to', 'ensure', 'that', 'the', 'lives', 'of', 'citizens', 'were', 'not', 'affected', '?']","In addition , what measures did relevant departments take to resolve issues such as waste discharge , heating , and communication , in order to ensure that the lives of citizens were not affected ?",[]
['bc/cctv/00/cctv_0005'],"['Well', ',', 'we', 'have', 'invited', 'two', 'honorable', 'guests', 'to', 'the', 'studio', 'today', 'to', 'follow', 'this', 'topic', 'with', 'us', '.']","Well , we have invited two honorable guests to the studio today to follow this topic with us .","[[40, 11, 11], [117, 9, 10], [53, 5, 7]]"
['bc/cctv/00/cctv_0005'],"['One', 'of', 'the', 'two', 'honorable', 'guests', 'in', 'the', 'studio', 'is', 'Professor', 'Zhou', 'Hanhua', 'from', 'the', 'Institute', 'of', 'Law', 'of', 'the', 'Chinese', 'Academy', 'of', 'Social', 'Sciences', '.']",One of the two honorable guests in the studio is Professor Zhou Hanhua from the Institute of Law of the Chinese Academy of Social Sciences .,"[[5, 10, 24], [117, 7, 8], [53, 2, 5]]"
['bc/cctv/00/cctv_0005'],"['Hello', '.']",Hello .,[]
['bc/cctv/00/cctv_0005'],"['Next', 'is', 'Yang', 'Yang', ',', 'a', 'host', 'of', 'Beijing', 'Traffic', 'Radio', 'Station', '.']","Next is Yang Yang , a host of Beijing Traffic Radio Station .","[[84, 2, 11], [106, 8, 11]]"
['bc/cctv/00/cctv_0005'],"['Hello', '.']",Hello .,[]
['bc/cctv/00/cctv_0005'],"['Welcome', 'both', 'of', 'you', 'to', 'the', 'studio', 'to', 'participate', 'in', 'our', 'program', '.']",Welcome both of you to the studio to participate in our program .,"[[64, 10, 11], [117, 5, 6], [53, 1, 3]]"
['bc/cctv/00/cctv_0005'],"['Well', ',', 'I', 'especially', 'want', 'to', 'know', ',', 'ha', ',', 'how', 'the', 'two', 'of', 'you', 'found', 'out', 'the', 'news', 'on', 'the', 'day', 'of', 'the', 'accident', '?']","Well , I especially want to know , ha , how the two of you found out the news on the day of the accident ?","[[53, 11, 14], [34, 17, 18], [67, 23, 24], [74, 2, 2], [28, 20, 24]]"
['bc/cctv/00/cctv_0005'],"['Ah', ',', ',', 'about', '11:00', 'm.', 'yesterday', ',', 'ah', ',', 'I', 'happened', 'to', 'find', 'out', 'through', 'an', 'SMS', 'when', 'I', 'was', 'outside', '.']","Ah , , about 11:00 m. yesterday , ah , I happened to find out through an SMS when I was outside .","[[28, 6, 6], [5, 10, 10], [5, 19, 19]]"
['bc/cctv/00/cctv_0005'],"['Uh-huh', '.']",Uh-huh .,[]
['bc/cctv/00/cctv_0005'],"['Uh-huh', '.']",Uh-huh .,[]
